track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
Paint,0.896,0.364,0.308,0.123,-13.052,0.0402,73.331,0.389
The Less I Know The Better,0.0115,0.64,0.74,0.167,-4.083,0.0284,116.879,0.785
Better Together,0.308,0.868,0.347,0.11,-9.529,0.0536,110.059,0.659
Read My Mind,0.00572,0.543,0.917,0.104,-3.391,0.0444,132.246,0.329
Oxford Comma,0.114,0.694,0.711,0.0433,-4.237,0.0517,119.516,0.974
Banquet,0.000139,0.578,0.892,0.215,-7.952,0.0441,150.253,0.892
Every Other Freckle,0.614,0.543,0.707,0.118,-7.636,0.07,143.915,0.515
Working Class Man,0.0115,0.376,0.944,0.15,-3.882,0.0959,138.322,0.397
Friday I'm in Love,0.000972,0.526,0.762,0.338,-12.437,0.0342,136.203,0.505
Unbelievers,0.142,0.644,0.811,0.169,-7.681,0.0499,154.903,0.831
Carried Away,0.0176,0.772,0.826,0.383,-5.135,0.0344,119.995,0.871
Heart of Gold - 2009 Remaster,0.189,0.541,0.459,0.099,-10.433,0.0297,171.165,0.803
Khe Sanh,0.141,0.464,0.913,0.173,-4.215,0.18,164.092,0.667
Window to the Sky,0.289,0.718,0.855,0.0754,-6.297,0.0777,110.941,0.619
The Way We Touch,0.00524,0.393,0.743,0.182,-4.989,0.0823,217.978,0.345
Sweater Weather,0.0495,0.612,0.807,0.101,-2.81,0.0336,124.053,0.398
Spirit Bird,0.488,0.392,0.315,0.127,-10.371,0.0383,126.243,0.253
"Take Me Home, Country Roads - Rerecorded",0.546,0.255,0.43,0.188,-12.564,0.0322,164.267,0.546
The Trouble with Us,0.338,0.828,0.744,0.158,-4.932,0.0646,121.09,0.831
Helicopter,0.000139,0.47,0.952,0.386,-3.641,0.134,170.058,0.398
The Lovecats,0.497,0.74,0.816,0.195,-4.764,0.0765,91.91,0.963
Blame It on the Boogie,0.0698,0.76,0.76,0.105,-6.781,0.0893,113.338,0.868
Home,0.292,0.542,0.589,0.177,-6.623,0.0318,111.665,0.137
Old Pine,0.45,0.401,0.364,0.162,-10.836,0.033,129.568,0.224
Flaws,0.405,0.57,0.657,0.0723,-6.987,0.0356,144.247,0.41
I Wanna Be Yours,0.136,0.464,0.417,0.0974,-9.345,0.0256,67.528,0.479
Mess Is Mine,0.047,0.595,0.723,0.0995,-8.256,0.0349,108.043,0.272
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",0.286,0.51,0.389,0.644,-14.317,0.0384,94.04,0.621
Love Love Love - AU Master,0.188,0.519,0.494,0.159,-5.399,0.0263,99.909,0.243
How Bad We Need Each Other,0.0809,0.668,0.71,0.0789,-5.47,0.0583,90.996,0.69
Eight Days a Week,0.013,0.356,0.732,0.461,-3.863,0.0367,139.142,0.72
R U Mine?,0.00616,0.288,0.758,0.303,-5.692,0.0371,97.094,0.619
I'm Yours,0.00581,0.504,0.83,0.181,-3.383,0.125,102.978,0.399
Lullaby - Acoustic Version,0.35,0.603,0.192,0.105,-12.446,0.0471,71.637,0.334
Higher Stakes,0.567,0.508,0.548,0.267,-10.087,0.0493,110.835,0.311
Swallowed in the Sea,0.0557,0.29,0.378,0.119,-10.823,0.0317,142.123,0.153
This Modern Love,0.00306,0.453,0.938,0.132,-5.344,0.0386,160.005,0.261
Cough Syrup,0.0343,0.534,0.721,0.115,-7.307,0.0417,128.978,0.225
Nice For What,0.0934,0.567,0.913,0.114,-6.471,0.0736,93.35,0.792
Kick On,0.00989,0.322,0.769,0.185,-5.858,0.0371,144.48,0.508
Alone (Feat. Big Sean & Stefflon Don),0.0164,0.445,0.662,0.219,-4.802,0.181,200.04,0.479
Love Lies (with Normani),0.0956,0.708,0.648,0.134,-5.626,0.0449,143.955,0.338
Paris in the Rain,0.771,0.426,0.408,0.394,-9.419,0.0524,76.309,0.528
Need You,0.262,0.753,0.75,0.0928,-6.653,0.0345,117.995,0.388
Say My Name (feat. Zyra),0.0041,0.749,0.745,0.0748,-7.367,0.0479,115.048,0.347
Lemon - Drake Remix,0.000738,0.777,0.657,0.0932,-6.434,0.237,189.992,0.245
Used to Be in Love,0.0022,0.83,0.631,0.0539,-5.238,0.0313,128.013,0.877
Slow (feat. Noah Cyrus) - CID Remix,0.00381,0.547,0.901,0.682,-3.627,0.0512,125.854,0.257
Better Not (feat. Wafia),0.278,0.783,0.537,0.229,-2.921,0.0749,113.977,0.392
Cudi Montage,0.401,0.729,0.504,0.121,-6.784,0.0321,110.011,0.305
Mine,0.0161,0.71,0.789,0.451,-3.874,0.0722,142.929,0.717
I Like It,0.099,0.816,0.726,0.372,-3.998,0.129,136.048,0.65
Sun Models (feat. Madelyn Grant),0.191,0.683,0.481,0.0907,-9.174,0.075,120.001,0.47
